aa	ɑ ɑ
aaad	e ɪ e ɪ e ɪ d i
aaaee	e ɪ e ɪ e ɪ i i
aaarg	e ɪ e ɪ e ɪ ɑ ɹ d͡ʒ i
aaav	e ɪ e ɪ e ɪ v i
aaawesome	ɔ s ə m
aabh	e ɪ e ɪ b i e ɪ t͡ʃ
aacap	e ɪ e ɪ k æ p
aacb	e ɪ e ɪ s i b i
aacbc	e ɪ e ɪ s i b i s i
aacbp	e ɪ e ɪ s i b i p i
aacd	e ɪ e ɪ s i d i
aace	e ɪ e ɪ s i i
aachs	e ɪ e ɪ s i e ɪ t͡ʃ ɛ s
aacjc	e ɪ e ɪ s i d͡ʒ e ɪ s i
aacl	e ɪ e ɪ s i ɛ l
aacm	e ɪ e ɪ s i ɛ m
aacpa	e ɪ e ɪ s i p i e ɪ
aakp	e ɪ e ɪ k e ɪ p i
aalborg	ɔ l b ɔ ɹ ɡ
aalii	ɑ l i i
aalst	ɑ l s t
aar	ɑ ɹ
aarau	aː ɹ a u
aardvark	ɑ ɹ d v ɑ ɹ k
aardwolves	ɑ ɹ d w ʊ l v z
aare	ɑ ɹ ə
aarhus	ɔ ɹ h u s
aarp	e ɪ e ɪ ɑ ɹ p i
aasvoel	ɑ s f o ʊ ə l
aasvogel	ɑ s f o ʊ ɡ ə l
aatheist	e ɪ e ɪ θ i ɪ s t
ababda	ə b æ b d ə
ababdeh	ə b æ b d ɛ
abaca	æ b ə k ɑ
abacate	æ b ə k ɑ t i
abacavir	ə b æ k ə v ɪ ɹ
abacaxi	æ b ə k ə ʃ i
abaci	æ b ə k a ɪ
aback	ə b æ k
abackward	ə b æ k w ə d
abacost	æ b ə k ɑ s t
abacterial	e ɪ b æ k t ɪ ɹ i ə l
abactinally	æ b æ k t ə n l̩ i
abactor	æ b æ k t ɚ
abaculus	ə b æ k j ə l ə s
abaddon	ə b æ d n̩
abaisance	ə b e ɪ z ə n s
abaiser	ə b e ɪ s ɚ
abaisse	ə b e ɪ s
abakan	ɑ b ə k ɑ n
abalone	æ b ə l o ʊ n i
abamp	æ b æ m p
abampere	æ b æ m p ɪ ɹ
aband	ə b æ n d
abandon	ə b æ n d n̩
abandoned	ə b æ n d n̩ d
abandonedly	ə b æ n d n̩ ə d l i
abandonee	ə b æ n d ə n i
abandoner	ə b æ n d ə n ɚ
abandonment	ə b æ n d n̩ m n̩ t
abarthroses	æ b ɑ ɹ θ ɹ o ʊ s i z
abarthrosis	æ b ɑ ɹ θ ɹ o ʊ s ɪ s
abas	ə b ɑ s
abase	ə b e ɪ s
abased	ə b e ɪ s t
abasedly	ə b e ɪ s ə d l i
abasement	ə b e ɪ s m ə n t
abaser	ə b e ɪ s ɚ
abash	ə b æ ʃ
abashedly	ə b æ ʃ ɪ d l i
abashedness	ə b æ ʃ ɪ d n ɪ s
abashev	ə b ɑ ʃ ə f
abashless	ə b æ ʃ l ə s
abashlessly	ə b æ ʃ l ə s l i
abashment	ə b æ ʃ m ə n t
abasic	e ɪ b e ɪ s ɪ k
abassi	ə b ɑ s i
abastardize	e ɪ b æ s t ɚ d a ɪ z
abatable	ə b e ɪ t ə b ə l
abate	ə b e ɪ t
abatement	ə b e ɪ t m ə n t
abater	ə b e ɪ t ɚ
abates	ə b e ɪ t s
abating	ə b e ɪ t ɪ ŋ
abatises	æ b ə t ə s ə z
abattis	ə b æ t ɪ s
abature	æ b ə t j ʊ ɹ
abatvoix	ɑ b ɑ v w ɑ
abaxial	æ b æ k s i ə l
abay	ə b e ɪ
abaya	ə b e ɪ j ə
abaza	ə b ɑ z ə
abbacy	æ b ə s i
abbas	ə b ɑ s
abbasi	ə b ɑ s i
abbe	æ b e ɪ
abbeys	æ b i z
abbots	æ b ə t s
abbotship	æ b ə t͡ʃ ɪ p
abbozzo	ə b ɔ t s o ʊ
abbreviated	ə b ɹ i v i e ɪ t ɪ d
abbreviation	ə b ɹ i v i e ɪ ʃ n̩
abbreviator	ə b ɹ i v i e ɪ t ə ɹ
abbreviatory	ə b ɹ i v i ə t ɔ ɹ i
abbreviature	ə b ɹ i v i ə t͡ʃ ʊ ɹ
abby	æ b i
abc	e ɪ b i s i
abcde	æ b s ə d i
abchalazal	æ b k ə l e ɪ z ə l
abderite	æ b d ə ɹ a ɪ t
abdicant	æ b d ɪ k n̩ t
abdication	æ b d ə k e ɪ ʃ ə n
abditive	æ b d ɪ t ɪ v
abdominalgia	æ b d ɑ m ɪ n æ l d͡ʒ i ə
abdominalia	æ b d ɑ m ɪ n e ɪ l i ə
abdominally	æ b d ɑ m ɪ n ə l i
abdominocardiac	æ b d ɑ m ɪ n o ʊ k ɑ ɹ d i æ k
abdominocentesis	æ b d ɑ m ɪ n o ʊ s ɜ n t i s ə s
abdominocystic	æ b d ɑ m ɪ n o ʊ s ɪ s t ɪ k
abdominogenital	æ b d ɑ m ɪ n o ʊ d͡ʒ ɛ n ɪ t l̩
abdominohysterectomy	æ b d ɑ m ɪ n o ʊ h ɪ s t ɚ ɹ ɛ k t ə m i
abdominoperineal	æ b d ɑ m ɪ n o ʊ p ɛ ɹ ə n i l̩
abdominoplasty	æ b d ɑ m ɪ n o ʊ p l æ s t i
abdominoscrotal	æ b d ɑ m ɪ n o ʊ s k ɹ o ʊ t l̩
abdominous	æ b d ɑ m ə n ə s
abdominouterotomy	æ b d ɑ m ɪ n o ʊ j u t ɚ ɑ t ə m i
abdominovaginal	æ b d ɑ m ɪ n o ʊ v æ d͡ʒ ɪ n l̩
abducted	æ b d ʌ k t ɪ d
abdul	ɑ b d ʊ l
abeam	ə b i m
abearance	ə b ɜ ɹ ə n s
abearing	ə b ɛ ɹ ɪ ŋ
abecedaria	e ɪ b i s i d æ ɹ i ə
abecedarium	e ɪ b i s i d ɛ ɹ i ə m
abecedarius	e ɪ b i s i d æ ɹ i ə s
abegge	ə b ɛ d͡ʒ
abel	e ɪ b l̩
abelam	ə b ə l ə m
abelmusk	e ɪ b ə l m ə s k
abeltree	e ɪ b ə l t ɹ i
abembryonic	æ b ɛ m b ɹ i ɑ n ɪ k
abendmusik	ɑ b ə n t m u z i k
abeng	æ b ɛ ŋ
abenlen	ə b ɛ n l ɛ n
abenteric	æ b ɛ n t ɛ ɹ ɪ k
aberdare	æ b ə ɹ d ɛ ɹ
aberdeen	æ b ɚ d i n
aberr	ə b ɜ ɹ
aberrantly	æ b ɛ ɹ n̩ t l i
aberration	æ b ə ɹ e ɪ ʃ n̩
aberrative	æ b ə ɹ e ɪ d ɪ v
abertawe	æ b ɚ t a ʊ w i
aberystwyth	æ b ə ɹ ɪ s t w ɪ θ
abessive	æ b ɛ s ɪ v
abet	ə b ɛ t
abetalipoproteinemia	e ɪ b e ɪ t ə l ɪ p o ʊ p ɹ o ʊ t i n i m i ə
abets	ə b ɛ t s
abettal	ə b ɛ t l̩
abetted	ə b ɛ t ɪ d
abetting	ə b ɛ t ɪ ŋ
abettor	ə b ɛ t ɚ
abevacuation	æ b i v æ k j u e ɪ ʃ n̩
abeyance	ə b e ɪ ə n s
abeyancy	ə b e ɪ ə n t s i
abeyant	ə b e ɪ ə n t
abgesang	ɑ p ɡ ə z ɑ ŋ
abhenry	æ b h ɛ n ɹ i
abhinaya	ə b ɪ n ə j ə
abhisheka	ə b ɪ ʃ e ɪ k ə
abhorred	æ b h ɔ ɹ d
abhorrency	ə b ɔ ɹ ɪ n s i
abhorrer	æ b h ɔ ɹ ɚ
abhorrers	æ b h ɔ ɹ ɚ
abhorring	æ b h ɔ ɹ ɪ ŋ
abidden	ə b ɪ d n̩
abide	ə b a ɪ d
abided	ə b a ɪ d ə d
abider	ə b ɑ ɪ d ɚ
abides	ə b a ɪ d s
abiding	ə b a ɪ d ɪ ŋ
abidingly	ə b a ɪ d ɪ ŋ l i
