abjad	a b j a t
abraham	a b r aː m
adam	a d aː m
adorazzjoni	a d ɔ r a t t͡s j ɔː n ɪ
aktar	a k t a r
aktarx	a k t a r ʃ
attiv	ɐ tː iː f
attività	ɐ tː ɪ v ɪ t a
awstralja	a w s t r aː l j a
azzjoni	a t t͡s j ɔː n ɪ
azzjonijiet	a t t͡s j ɔ n ɪ j ɪː t
aħbar	a ħ b aː r
aħbarijiet	a ħ b a r ɪ j ɪː t
aħjar	a ħ j aː r
aħna	ɐ ħ n ɐ
aħwa	a ħ w a
bagħat	b aː t
bajd	b a j t
bajda	b a j d a
ballun	b a l l uː n
bandiera	b ɐ n d ɪː r ɐ
baqgħet	b a ʔ a t
baqgħu	b a ʔ a w
barka	b a r k a
barra	b a r r a
barrani	b a r r aː n ɪ
bata	b aː t a
batta	b a t t a
baġit	b a d͡ʒ ɪ t
bdiewa	b d ɪː w a
bejgħ	b ɛ j ħ
bejjiegħa	b ɛ j j ɪː j a
bejn	b ɛ j n
belt	b ɛ l t
belti	b ɛ l t ɪ
bena	b ɛ n a
bidla	b ɪ d l a
bieb	b ɪː p
biegħ	b ɪː ħ
biex	b ɪː ʃ
bih	b ɪː ħ
biha	b ɪː j a
bihom	b ɪː j ɔ m
bija	b iː j a
bik	b iː k
bina	b iː n a
bini	b ɪ n ɪ
bint	b ɪ n t
biżżejjed	b ɪ z z ɛ j j ɛ t
bla	b l aː
blu	b l uː
bniet	b n ɪː t
bogħod	b ɔː t
borma	b ɔ r m a
borġ	b ɔ r t͡ʃ
bosta	b ɔ s t a
bħal	p ħ aː l
bħalma	p ħ aː l m a
bżonn	b z ɔ n n
dagħbien	d a b ɪː n
dam	d aː m
daqq	d a ʔ
daqs	d a ʔ s
daqsxejn	d a ʔ s ʃ ɛ j n
darba	d a r b a
darbtejn	d a r p t ɛ j n
dawl	d a w l
dawn	d a w n
dawra	d ɐ w r ɐ
daħal	d a ħ a l
daħka	d a ħ k a
debba	d ɛ bː ɐ
dehra	d ɛː r a
dejjaq	d ɛ j j a ʔ
dejjem	d ɛ j j ɛ m
demgħa	d ɛ m a
demm	d ɛ m m
demokrazija	d ɛ m ɔ k r a t͡s iː j a
deċiż	d ɛ t͡ʃ iː s
deċiżjoni	d ɛ t͡ʃ ɪ z j ɔː n ɪ
dgħajjef	d a j j ɛ f
dgħajsa	d a j s a
diffiċli	d ɪ f f iː t͡ʃ l ɪ
difiża	d ɪ f iː z a
din	d iː n
dineb	d ɪ n ɛ p
dinja	d ɪ n j ɐ
direzzjoni	d ɪ r ɛ t t͡s j ɔː n ɪ
disgħa	d ɪ s a
disgħin	d ɪ s a j n
djar	d j aː r
dlam	d l aː m
dmugħ	d m uː ħ
dnub	d n uː p
drabi	d r aː b ɪ
drapp	d r a p
dritt	d r ɪ t
drittijiet	d r ɪ t t ɪ j ɪː t
ebda	ɛ b d a
edizzjoni	ɛ d ɪ t t͡s j ɔː n ɪ
ejja	ɛ j j a
emmen	ɛ m m ɛ n
emozzjonali	ɛ m ɔ tː s j ɔ n aː l ɪ
enerġija	ɛ n ɛ r d͡ʒ iː j a
erbgħa	ɛ r b a
erbgħin	ɛ r b ɛ j n
esperjenza	ɛ s p ɛ r j ɛ n t͡s a
espressjoni	ɛ s p r ɛ sː j ɔː n ɪ
essenzjali	ɛ sː ɛ n t s j aː l ɪ
essenzjalment	ɛ sː ɛ n t s j ɐ l m ɛ n t
ewwel	ɛ w w ɛ l
eċċezzjoni	ɛ tː ʃ ɛ tː s j ɔː n ɪ
eżami	ɛ z aː m ɪ
eżatt	ɛ z a t
eżempji	ɛ z ɛ m p j ɪ
fadal	f a d a l
far	f aː r
faċli	f aː t͡ʃ l ɪ
faħħar	f a ħ ħ a r
fehem	f ɛː m
fejda	f ɛ j d a
felaħ	f ɛ l a ħ
ferħ	f ɛ r ħ
fetaħ	f ɛ t a ħ
fiha	f ɪː j a
fihom	f ɪː j ɔ m
fik	f iː k
fil	f iː l
filgħaxija	f ɪ l a ʃ iː j a
filgħaxijiet	f ɪ l a ʃ ɪ j ɪː t
fina	f iː n a
fisser	f ɪ s s ɛ r
fittex	f ɪ t t ɛ ʃ
fliexken	f l ɪː ʃ k ɛ n
flixkun	f l ɪ ʃ k uː n
flok	f l ɔː k
flus	f l uː s
fniek	f n ɪː k
folla	f ɔ l l a
fomm	f ɔ m m
forma	f ɔ r m a
forsi	f ɔ r s ɪ
fost	f ɔ s t
frott	f r ɔ tː
ftakar	f t a k a r
ftit	f t iː t
fuq	f uː ʔ
gawda	ɡ a w d a
gideb	ɡ ɪ d ɛ p
gwerra	ɡ w ɛ r r a
għada	aː d a
għadd	aː t
għadda	aː d d a
għafas	aː f a s
għajb	a j p
għajn	a j n
għajnuna	a j n uː n a
għalaq	aː l a ʔ
għaldaqstant	a l d a ʔ s t a n t
għalhekk	a l ɛː k
għalja	aː l j a
għalliem	a l l ɪː m
għalqa	aː l ʔ a
għammieq	a m m ɪː ʔ
għana	aː n a
għand	aː n t
għandek	aː n d ɛ k
għandha	aː n d a
għandhom	aː n d ɔ m
għandi	aː n d ɪ
għandkom	aː n t k ɔ m
għandna	aː n n a
għani	aː n ɪ
għaqda	aː ʔ d a
għaqdiet	a ʔ d ɪː t
għaqli	aː ʔ l ɪ
għaqlija	a ʔ l iː j a
għaqlin	a ʔ l iː n
għaraf	aː r a f
għarajjes	a r a j j ɛ s
għarfien	a r f ɪː n
għasar	aː s a r
għasfur	a s f uː r
għatxana	a t t͡ʃ aː n a
għawdex	a w d ɛ ʃ
għawdxija	a w t͡ʃ iː j a
għawdxin	a w t͡ʃ iː n
għawma	a w m a
għax	aː ʃ
għaxar	aː ʃ a r
għażel	aː z ɛ l
għażiż	a z iː s
għażla	aː z l a
għelieqi	ɛ l ɪː ʔ ɪ
għen	ɛː n
għex	ɛː ʃ
għid	ɛ j t
għodod	ɔː d ɔ t
għola	ɔː l a
għolja	ɔː l j a
għoljin	ɔ l j iː n
gżejjer	ɡ z ɛ jː ɛ r
gżira	ɡ z iː r a
hawn	a w n
hemm	ɛ m m
hemmhekk	ɛ m m ɛː k
hena	ɛː n a
hewden	ɛ w d ɛ n
hieni	ħ ɪː n ɪ
hienja	ħ ɪː n j a
hija	iː j ɐ
hinn	ɪ n n
huma	uː m ɐ
huwa	uː w ɐ
iben	ɪ b ɛ n
iblah	ɪ b l a ħ
id	iː t
iebes	ɪː b ɛ s
iebsa	ɪː p s a
ieħor	ɪː ħ ɔ r
ikel	ɪ k ɛ l
ikrah	ɪ k r a ħ
illum	ɪ l l uː m
ilma	ɪ l m a
ilsna	ɪ l s n ɐ
imbagħad	ɪ m b aː t
impjieg	ɪ m p j ɪː k
impressjoni	ɪ m p r ɛ s s j ɔː n ɪ
impressjonijiet	ɪ m p r ɛ s s j ɔ n ɪ j ɪː t
imħabba	ɪ m ħ a b b a
inbid	ɪ m b iː t
indika	ɪ n d iː k ɐ
indikazzjoni	ɪ n d ɪ k a t t͡s j ɔː n ɪ
indipendenti	ɪ n d ɪ p ɛ n d ɛ n t ɪ
indiċi	ɪ n d iː t͡ʃ ɪ
infern	ɪ n f ɛ r n
infezzjoni	ɪ n f ɛ t t͡s j ɔː n ɪ
ingliż	ɪ n ɡ l iː s
inibizzjoni	ɪ n ɪ b ɪ tː s j ɔː n ɪ
inkella	ɪ n k ɛ l l a
int	ɪ n t
internazzjonali	ɪ n t ɛ r n a t t͡s j ɔ n aː l ɪ
inti	ɪ n t ɪ
intom	ɪ n t ɔ m
ipprova	ɪ p p r ɔː v a
irjieħ	ɪ r j ɪː ħ
irrisponda	ɪ r r ɪ s p ɔ n d a
isem	ɪ s ɛ m
isfar	ɪ s f ɐ r
isfel	ɪ s f ɛ l
issa	ɪ s s a
issieħeb	ɪ s s ɪː ħ ɛ p
istess	ɪ s t ɛ sː
itfal	ɪ t f aː l
ittra	ɪ t t r a
itwal	ɪ t w a l
iva	iː v a
iżjed	ɪ z j ɛ t
jaf	j aː f
jagħlaq	j aː l a ʔ
jagħti	j aː t ɪ
jagħżel	j aː z ɛ l
jalla	j a l l a
jannar	j ɐ n n ɐː r
jaqbad	j a ʔ b a t
jaqra	j a ʔ r a
jara	j aː r a
jekk	j ɛ kː
jew	j ɛ w
jgħallem	j aː l l ɛ m
jgħid	j ɛ j t
jgħin	j a j n
jgħix	j ɛ j ʃ
jgħodd	j ɔː t
jgħożż	j ɔː s
jhedded	j ɛː d d ɛ t
jibgħat	j ɪ b a t
jidher	j ɪ d ɛ r
jiekol	j ɪː k ɔ l
jiem	j ɪː m
jien	j ɪː n
jiena	j ɪː n ɐ
jifhem	j ɪ f ɛ m
jilgħab	j ɪ l a p
jingħata	j ɪ n aː t a
jinsa	j ɪ n s a
jisimgħu	j ɪ s ɪ m ɔ w
jistgħu	j ɪ s t ɔ w
jitgħallem	j ɪ t aː l l ɛ m
jixgħel	j ɪ ʃ a l
jixhed	j ɪ ʃ ɛ t
jiġifieri	j ɪ d͡ʒ ɪ f ɪː r ɪ
jogħxa	j ɔː ʃ a
joqgħod	j ɔ ʔ ɔ t
jsib	j s iː p
juri	j uː r ɪ
jħobb	j ħ ɔ p
kafè	k a f ɛː
kamra	k a m r a
kanta	k a n t a
kapaċità	k ɐ p ɐ t ʃ ɪ t a
