abaty	a b a t i
aber	a b ɛ r
aberdâr	a b ɛ r d aː r
abermaw	a b ɛ r m a u̯
abertawe	a b ɛ r t a u̯ ɛ
acer	a k ɛ r
achlysur	a χ l ə s ɪ r
achos	a χ ɔ s
achosi	a χ ɔ s i
actor	a k t ɔ r
actores	a k t ɔ r ɛ s
adar	a d a r
addysgu	a ð ə s ɡ i
adeg	a d ɛ ɡ
adeilad	a d e i̯ l a d
adeiladwaith	a d e i̯ l a d w a i̯ θ
adenydd	a d ɛ n ɪ ð
aderyn	a d ɛ r ɪ n
adfail	a d v a i̯ l
adfer	a d v ɛ r
adfywiad	a d v ɪ u̯ j a d
adran	a d r a n
adrodd	a d r ɔ ð
adroddiad	a d r ɔ ð j a d
aelod	e i̯ l ɔ d
aelod seneddol	e i̯ l ɔ d s ɛ n ɛ ð ɔ l
aer	a i̯ r
aeth	a i̯ θ
affrica	a f r ɪ k a
afon	a v ɔ n
ag	a ɡ
agor	a ɡ ɔ r
agos	a ɡ ɔ s
alan	a l a n
albwm	a l b ʊ m
all	aː ɬ
allan	a ɬ a n
almaen	ə r a l m a i̯ n
almaeneg	a l m e i̯ n ɛ ɡ
am	a m
america	a m ɛ r ɪ k a
amgueddfa	a m ɡ i ɛ ð v a
amlwg	a m l ʊ ɡ
amryw	a m r ɪ u̯
amrywiad	a m r ɪ u̯ j a d
amrywio	a m r ɪ u̯ j ɔ
amser	a m s ɛ r
amserlen	a m s ɛ r l ɛ n
anawsterau	a n a u̯ s d ɛ r a i̯
anffurfiol	a n f ɪ r v j ɔ l
anfon	a n v ɔ n
angen	a ŋ ɛ n
anghofio	a ŋ h ɔ v j ɔ
anghyflawn	a ŋ h ə v l a u̯ n
anoddach	a n ɔ ð a χ
ansawdd	a n s a u̯ ð
ar	a r
arall	a r a ɬ
ardal	a r d a l
arfau	a r v a i̯
argraffiad	a r ɡ r a f j a d
armenia	a r m ɛ n j a
arno	a r n ɔ
arolygwyr	a r ɔ l ə ɡ w ɪ r
arwain	a r w a i̯ n
arweiniad	a r w e i̯ n j a d
arweinydd	a r w e i̯ n ɪ ð
arwydd	a r w ɪ ð
