աագխ	ɑ ɑ ɡ ə χ ə
աաի	ɑ ɑ i
աած	ɑ ɑ t͡s ə
աակ	ɑ ɑ k ə
աահ	ɑ ɑ h ə
աապ	ɑ ɑ p ə
աապվ	ɑ ɑ p ə v ə
աբա	ɑ b ɑ
աբական	ɑ b ɑ k ɑ n
աբաջյան	ɑ b ɑ d͡ʒ j ɑ n
աբաս	ɑ b ɑ s
աբբա	ɑ bː ɑ
աբբայուհի	ɑ bː ɑ j u h i
աբել	ɑ b ɛ l
աբեղա	ɑ b ɛ ʁ ɑ
աբեղայական	ɑ b ɛ ʁ ɑ j ɑ k ɑ n
աբեղուկ	ɑ b ɛ ʁ u k
աբիսողոմ	ɑ b i s ɔ ʁ ɔ m
աբխազ	ɑ pʰ χ ɑ z
աբխազական	ɑ pʰ χ ɑ z ɑ k ɑ n
աբխազերեն	ɑ pʰ χ ɑ z ɛ ɾ ɛ n
աբխազիա	ɑ pʰ χ ɑ z j ɑ
աբո	ɑ b ɔ
աբոնեմենտ	ɑ b ɔ n ɛ m ɛ n t
աբովյան	ɑ b ɔ v j ɑ n
աբորտ	ɑ b ɔ ɾ t
աբսոլյուտ	ɑ pʰ s ɔ l j u t
աբսուրդ	ɑ pʰ s u ɾ d
աբստրակտ	ɑ pʰ s t ɾ ɑ k t
աբստրակցիա	ɑ pʰ s t ɾ ɑ k t͡sʰ j ɑ
աբստրահվել	ɑ pʰ s t ɾ ɑ h v ɛ l
աբրա	ɑ b ɾ ɑ
աբրահամյան	ɑ b ɾ ɑ h ɑ m j ɑ n
աբրամ	ɑ b ɾ ɑ m
ագա	ɑ ɡ ɑ
ագաթ	ɑ ɡ ɑ tʰ
ագահաբար	ɑ ɡ ɑ h ɑ b ɑ ɾ
ագահորեն	ɑ ɡ ɑ h ɔ ɾ ɛ n
ագահություն	ɑ ɡ ɑ h u tʰ j u n
ագարակ	ɑ ɡ ɑ ɾ ɑ k
ագարակացնել	ɑ ɡ ɑ ɾ ɑ k ɑ t͡sʰ n ɛ l
ագարտալա	ɑ ɡ ɑ ɾ t ɑ l ɑ
ագն	ɑ ɡ ə n ə
ագնոստիկ	ɑ ɡ n ɔ s t i k
ագնոստիցիզմ	ɑ ɡ n ɔ s t i t͡sʰ i z m
ագուցահանել	ɑ ɡ u t͡sʰ ɑ h ɑ n ɛ l
ագուցանել	ɑ ɡ u t͡sʰ ɑ n ɛ l
ագուցել	ɑ ɡ u t͡sʰ ɛ l
ագուցվել	ɑ ɡ u t͡sʰ v ɛ l
ագռավ	ɑ ɡ r ɑ v
ագռավանալ	ɑ ɡ r ɑ v ɑ n ɑ l
ագրեսիա	ɑ ɡ ɾ ɛ s j ɑ
ագրիպպաս	ɑ ɡ ɾ i pː ɑ s
ադամ	ɑ d ɑ m
ադամաթուզ	ɑ d ɑ m ɑ tʰ u z
ադամանդ	ɑ d ɑ m ɑ n d
ադամանդագործ	ɑ d ɑ m ɑ n d ɑ ɡ ɔ ɾ t͡s
ադամանդագործական	ɑ d ɑ m ɑ n d ɑ ɡ ɔ ɾ t͡s ɑ k ɑ n
ադամանդվել	ɑ d ɑ m ɑ n d v ɛ l
ադանա	ɑ d ɑ n ɑ
ադլեր	ɑ d l ɛ ɾ
ադոնց	ɑ d ɔ n t͡sʰ
ադրբեջանական	ɑ d ə ɾ b ɛ d͡ʒ ɑ n ɑ k ɑ n
ադրբեջաներեն	ɑ d ə ɾ b ɛ d͡ʒ ɑ n ɛ ɾ ɛ n
ադրբեջանցի	ɑ d ə ɾ b ɛ d͡ʒ ɑ n t͡sʰ i
ադրիանապոլիս	ɑ d ɾ i j ɑ n ɑ p ɔ l i s
ադրիանոս	ɑ d ɾ i j ɑ n ɔ s
ազազանալ	ɑ z ɑ z ɑ n ɑ l
ազատ	ɑ z ɑ t
ազատագրվել	ɑ z ɑ t ɑ ɡ ə ɾ v ɛ l
ազատազրկել	ɑ z ɑ t ɑ z ə ɾ k ɛ l
ազատականացնել	ɑ z ɑ t ɑ k ɑ n ɑ t͡sʰ n ɛ l
ազատել	ɑ z ɑ t ɛ l
ազատություն	ɑ z ɑ t u tʰ j u n
ազգագրական	ɑ z ɡ ɑ ɡ ə ɾ ɑ k ɑ n
ազգայնականություն	ɑ z ɡ ɑ j n ɑ k ɑ n u tʰ j u n
ազգասեր	ɑ z ɡ ɑ s ɛ ɾ
ազգերի	ɑ z ɡ ɛ ɾ i
ազգություն	ɑ z ɡ u tʰ j u n
ազդակ	ɑ z d ɑ k
ազդանշան	ɑ z d ɑ n ə ʃ ɑ n
ազդարար	ɑ z d ɑ ɾ ɑ ɾ
ազդարարել	ɑ z d ɑ ɾ ɑ ɾ ɛ l
ազդեցություն	ɑ z d ɛ t͡sʰ u tʰ j u n
ազդվել	ɑ z d v ɛ l
ազդր	ɑ z d ə ɾ
ազերի	ɑ z ɛ ɾ i
ազնավուր	ɑ z n ɑ v u ɾ
ազնիվ	ɑ z n i v
ազնվական	ɑ z n ə v ɑ k ɑ n
ազոտ	ɑ z ɔ t
աթեիզմ	ɑ tʰ ɛ j i z m
աթեիստ	ɑ tʰ ɛ i s t
աթենք	ɑ tʰ ɛ ŋ kʰ
աթլաս	ɑ tʰ l ɑ s
աթլետիկա	ɑ tʰ l ɛ t i k ɑ
աթոռ	ɑ tʰ ɔ r
աթոռակ	ɑ tʰ ɔ r ɑ k
աթս	ɑ tʰ ə s ə
աժ	ɑ ʒ ə
աժան	ɑ ʒ ɑ n
աժդահա	ɑ ʒ d ɑ h ɑ
աժդահակ	ɑ ʒ d ɑ h ɑ k
ալ	ɑ l
ալադին	ɑ l ɑ d i n
ալազան	ɑ l ɑ z ɑ n
ալաժահրի	ɑ l ɑ ʒ ɑ h ɾ i
ալան	ɑ l ɑ n
ալանի	ɑ l ɑ n i
ալավերդի	ɑ l ɑ v ɛ ɾ d i
ալբաներեն	ɑ l b ɑ n ɛ ɾ ɛ n
ալբանիա	ɑ l b ɑ n j ɑ
