абаджиите	a b ə d͡ʒ i i t̪ ɛ
абажура	a b ə ʒ u ɾ ə
абажури	a b ə ʒ u ɾ i
абата	ə b a t̪ ə
абатство	ə b a t̪ s t̪ v o
абатството	a b a t̪ s t̪ v o t̪ o
абдала	a b d̪ a ɫ ə
абдикации	a b d̪ i k t͡s s i i
абдикация	a b d̪ i k t͡s i j ə
абдикират	a b d̪ i kʲ i r ə t̪
абисинец	ə b i s i n ɛ t͡s
абисинци	a b i s i n t͡s i
абите	ə b i t̪ ɛ
абитуриенти	a b i t̪ u ɾ i ɛ n t̪ i
абитуриентите	a b i t̪ u ɾ i ɛ n t̪ i t̪ ɛ
абитуриентът	a b i t̪ u ɾ i ɛ n t̪ ə t̪
абонамент	ə b o n ə m ɛ n t̪
абонаментна	a b o n ə m ɛ n t̪ n ə
абонаментни	a b o n ə m ɛ n t̪ n i
абонаментните	a b o n ə m ɛ n t̪ n i t̪ ɛ
абонаментният	a b o n ə m ɛ n t̪ n i j ə t̪
абонаментно	a b o n ə m ɛ n t̪ n o
абонаментното	a b o n ə m ɛ n t̪ n o t̪ o
абоната	a b o n a t̪ ə
абонати	a b o n a t̪ i
абонатите	a b o n a t̪ i t̪ ɛ
абонатът	a b o n a t̪ ə t̪
аборигени	a b o ɾ i ɡʲ ɛ n i
аборигените	a b o ɾ i ɡʲ ɛ n i t̪ ɛ
аборигенска	a b o ɾ i ɡʲ ɛ n s k ə
аборигенските	a b o ɾ i ɡ ɛ n s kʲ i t̪ ɛ
аборигенското	a b o ɾ i ɡʲ ɛ n s k o t̪ o
аборигенчето	a b o ɾ i ɡʲ ɛ n t͡ʃ ɛ t̪ o
абревиатурата	a b r ɛ v i ə t̪ u ɾ ə t̪ ə
абревиатурите	a b r ɛ v i ə t̪ u ɾ i t̪ ɛ
абсолвентите	a p s o ɫ v ɛ n t̪ i t̪ ɛ
абсолвентка	a p s o ɫ v ɛ n t̪ k ə
абсолвентският	a p s o ɫ v ɛ n s kʲ i j ə t̪
абсолвентът	a p s o ɫ v ɛ n t̪ ə t̪
абсолютен	a p s ɔ lʲ u t̪ ɛ n
абсолютна	a p s o lʲ u t̪ n ə
абсолютната	a p s o lʲ u t̪ n ə t̪ ə
абсолютни	a p s o lʲ u t̪ n i
абсолютните	a p s o lʲ u t̪ n i t̪ ɛ
абсолютния	a p s o lʲ u t̪ n i j ə
абсолютният	a p s o lʲ u t̪ n i j ə t̪
абсолютно	a p s ɔ lʲ u t̪ n ɔ
абсолютното	a p s o lʲ u t̪ n o t̪ o
абсорбира	a p s o r b i r ə
абсорбирал	a p s o r b i r ə ɫ
абсорбиралите	a p s o r b i r ə ɫ i t̪ ɛ
абсорбират	a p s o r b i r ə t̪
абсорбирах	a p s o r b i r ə x
абсорбирахте	a p s o r b i r ə x t̪ ɛ
абсорбиращ	a p s o r b i r ə ʃ t̪
абстрактна	a p s t̪ r a k n ə
абстрактната	a p s t̪ r a k n ə t̪ ə
абстрактни	a p s t̪ r a k n i
абстрактните	a p s t̪ r a k n i t̪ ɛ
абстрактния	a p s t̪ r a k n i j ə
абстрактно	a p s t̪ r a k t̪ n o
абстрактното	a p s t̪ r a k n o t̪ o
абсурден	ə p s u r d̪ ɛ n
абсурдна	a p s u r d̪ n ə
абсурдната	a p s u r d̪ n ə t̪ ə
абсурдни	a p s u r d̪ n i
абсурдните	a p s u r d̪ n i t̪ ɛ
абсурдния	a p s u r d̪ n i j ə
абсурдният	a p s u r d̪ n i j ə t̪
абсурдно	a p s u r d̪ n o
абсурдното	a p s u r d̪ n o t̪ o
авангарден	ə v ə n ɡ a r d̪ ɛ n
авангардна	a v ə n ɡ a r d̪ n ə
авангардната	a v ə n ɡ a r d̪ n ə t̪ ə
авангардни	a v ə n ɡ a r d̪ n i
авангардните	a v ə n ɡ a r d̪ n i t̪ ɛ
авангардния	a v ə n ɡ a r d̪ n i j ə
авангардно	a v ə n ɡ a r d̪ n o
аванс	ə v a n s
авансираната	a v ə n s i ɾ ə n ə t̪ ə
авансираха	a v ə n s i ɾ ə x ə
