aad	aː t
aalst	aː l s t
aalten	aː l t ə n
aambeeld	aː m b eː l t
aanbestedingsprocedure	aː n b ə s t eː d ɪ ŋ s p r oː s ə d yː r ə
aanbetaling	aː n b ə t aː l ɪ ŋ
aanbevelen	aː m b ə v eː l ə n
aanbieden	aː n b i d ə n
aanblik	aː n b l ɪ k
aanbod	aː n b ɔ t
aanbouw	aː n b ɑ u̯
aanbouwen	aː m b ɑ u̯ ə n
aanbreekt	aː m b r eː k t
aanbrengen	aː m b r ɛ ŋ ə n
aandacht	aː n d ɑ x t
aandachtig	aː n d ɑ x t ə x
aandachtspunt	aː n d ɑ x t s p ʏ n t
aandeel	aː n d eː l
aandeelhouder	aː n d eː l ɦ ɑ u̯ d ə r
aandoening	aː n d u n ɪ ŋ
aandoenlijk	aː n d u n l ə k
aandrijfas	aː n d r ɛ i̯ f ɑ s
aandringen	aː n d r ɪ ŋ ə n
aanduiding	aː n d œ y̯ d ɪ ŋ
aaneen	aː n eː n
aangaan	aː ŋ ɣ aː n
aangaande	aː n ɣ aː n d ə
aangeboren	aː n ɣ ə b oː r ə n
aangegrepen	aː ŋ ɣ ə ɣ r eː p ə n
aangenaam	aː n ɣ ə n aː m
aangepast	aː ŋ ɣ ə p ɑ s t
aangeschoten	aː n ɣ ə s x oː t ə n
aangeslagen	aː n ɣ ə s l aː ɣ ə n
aangetekend	aː n ɣ ə t eː k ə n t
aangeven	aː ŋ ɣ eː v ə n
aangezien	aː ŋ ɣ ə z i n
aangifte	aː n ɣ ɪ f t ə
aangrenzend	aː n ɣ r ɛ n z ə n t
aangroei	aː n ɣ r u i̯
aanhaling	aː n ɦ aː l ɪ ŋ
aanhang	aː n ɦ ɑ ŋ
aanhangen	aː n ɦ ɑ ŋ ə n
aanhangsel	aː n ɦ ɑ ŋ s ə l
aanhef	aː n ɦ ɛ f
aanhoudelijk	aː n ɦ ɑ u̯ d ə l ə k
aanhouding	aː n ɦ ɑ u̯ d ɪ ŋ
aanjagen	aː n j aː ɣ ə n
aankijken	aː ŋ k ɛ i̯ k ə n
aanklacht	aː ŋ k l ɑ x t
aanklagen	aː ŋ k l aː ɣ ə n
aanklager	aː n k l aː ɣ ə r
aankleden	aː ŋ k l eː d ə n
aankomen	aː ŋ k oː m ə n
aankomst	aː ŋ k ɔ m s t
aankondiger	aː n k ɔ n d ə ɣ ə r
aankondiging	aː n k ɔ n d ə ɣ ɪ ŋ
aankoop	aː ŋ k oː p
aankopen	aː ŋ k oː p ə n
aankunnen	aː ŋ k ʏ n ə n
aanleg	aː n l ɛ x
aanleggen	aː n l ɛ ɣ ə n
aanleiding	aː n l ɛ i d ɪ ŋ
aanlengen	aː n l ɛ ŋ ə n
aanleren	aː n l eː r ə n
aanleveren	aː n l eː v ə r ə n
aanliggen	aː n l ɪ ɣ ə n
aanmaken	aː n m aː k ə n
aanmelden	aː m ɛ l d ə n
aanmerkelijk	aː n m ɛ r k ə l ə k
aanmerken	aː n m ɛ r k ə n
aanmerking	aː n m ɛ r k ɪ ŋ
aanname	aː n n aː m ə
aannemelijk	aː n eː m ə l ə k
aannemer	aː n eː m ə r
aanpak	aː m p ɑ k
aanpakken	aː m p ɑ k ə n
aanpasbaar	aː n p ɑ s b aː r
aanpassen	aː m p ɑ s ə n
aanpassing	aː m p ɑ s ɪ ŋ
aanprijzen	aː m p r ɛ i̯ z ə n
aanraden	aː n r aː d ə n
aanrader	aː n r aː d ə r
aanraken	aː n r aː k ə n
aanraking	aː n r aː k ɪ ŋ
aanrijden	aː n r ɛ i̯ d ə n
aanrijding	aː n r ɛ i̯ d ɪ ŋ
aanritsgeld	aː n r ɪ t s x ɛ l t
aanroepen	aː n r u p ə n
aanschaf	aː n s x ɑ f
aanschouwen	aː n s x ɑ u̯ ə n
aanschuiven	aː n s x œ y̯ v ə n
aanslaan	aː n s l aː n
aanslag	aː n s l ɑ x
aansluiten	aː n s l œ y̯ t ə n
aansluiting	aː n s l œ y̯ t ɪ ŋ
aanspannen	aː n s p ɑ n ə n
aanspeling	aː n s p eː l ɪ ŋ
aansprakelijk	aː n s p r aː k ə l ə k
aansprakelijkheid	aː n s p r aː k ə l ə k ɦ ɛ i t
aanspreken	aː n s p r eː k ə n
aanstekelijk	aː n s t eː k ə l ə k
aanstellen	aː n s t ɛ l ə n
aanstelling	aː n s t ɛ l ɪ ŋ
aantal	aː n t ɑ l
aantasten	aː n t ɑ s t ə n
aantekenen	aː n t eː k ə n ə n
aantocht	aː n t ɔ x t
aantreden	aː n t r eː d ə n
aantreffen	aː n t r ɛ f ə n
aantrekkelijk	aː n t r ɛ k ə l ə k
aantrekken	aː n t r ɛ k ə n
aantrekking	aː n t r ɛ k ɪ ŋ
aantrekkingskracht	aː n t r ɛ k ɪ ŋ s k r ɑ x t
aanvaardbaar	aː n v aː r t b aː r
aanvaarden	aː n v aː r d ə n
aanvaarding	aː n v aː r d ɪ ŋ
aanval	aː n v ɑ l
aanvallen	aː n v ɑ l ə n
aanvallend	aː n v ɑ l ə n t
aanvaller	aː n v ɑ l ə r
aanvalsplan	aː n v ɑ l s p l ɑ n
aanvankelijk	aː n v ɑ ŋ k ə l ə k
aanvinken	aː n v ɪ ŋ k ə n
aanvoelen	aː n v u l ə n
aanvoerder	aː n v uː r d ə r
aanvoeren	aː n v uː r ə n
aanvraag	aː n v r aː x
aanvragen	aː n v r aː ɣ ə n
aanvreten	aː n v r eː t ə n
