ააგო	ɑ ɑ ɡ ɔ
აადვილებს	ɑ ɑ d v i l ɛ b s
აალებული	ɑ ɑ l ɛ b u l i
აბა	ɑ b ɑ
აბაზანა	ɑ b ɑ z ɑ n ɑ
აბანო	ɑ b ɑ n ɔ
აბარებს	ɑ b ɑ r ɛ b s
აბედი	ɑ b ɛ d i
აბზინდა	ɑ b z i n d ɑ
აბი	ɑ b i
აბინძურებს	ɑ b i n d͡z u r ɛ b s
აბონენტი	ɑ b ɔ n ɛ n tʼ i
აბრაგი	ɑ b r ɑ ɡ i
აბრალებს	ɑ b r ɑ l ɛ b s
აბრამიშვილი	ɑ b r ɑ m i ʃ v i l i
აბრევი	ɑ b r ɛ v i
აბრევიატურა	ɑ b r ɛ v i ɑ tʼ u r ɑ
აბრეშუმი	ɑ b r ɛ ʃ u m i
აბსოლუტურად	ɑ b s ɔ l u tʼ u r ɑ d
აბსტრაქტული	ɑ b s tʼ r ɑ kʰ tʼ u l i
აბსტრაქცია	ɑ b s tʼ r ɑ kʰ t͡s i ɑ
აბსურდულად	ɑ b s u r d u l ɑ d
აბსურდული	ɑ b s u r d u l i
აგდება	ɑ ɡ d ɛ b ɑ
აგდებს	ɑ ɡ d ɛ b s
აგებინებს	ɑ ɡ ɛ b i n ɛ b s
აგენტად	ɑ ɡ ɛ n tʼ ɑ d
აგენტი	ɑ ɡ ɛ n tʼ i
აგენტის	ɑ ɡ ɛ n tʼ i s
აგენტმა	ɑ ɡ ɛ n tʼ m ɑ
აგენტო	ɑ ɡ ɛ n tʼ ɔ
აგენტს	ɑ ɡ ɛ n tʼ s
აგენტურა	ɑ ɡ ɛ n tʼ u r ɑ
აგვირგვინებს	ɑ ɡ v i r ɡ v i n ɛ b s
აგვისტომ	ɑ ɡ v i s tʼ ɔ m
აგვისტოს	ɑ ɡ v i s tʼ ɔ s
აგიტატორი	ɑ ɡ i tʼ ɑ tʼ ɔ r i
აგნებს	ɑ ɡ n ɛ b s
აგონდება	ɑ ɡ ɔ n d ɛ b ɑ
აგორებს	ɑ ɡ ɔ r ɛ b s
აგრესიულად	ɑ ɡ r ɛ s i u l ɑ d
აგრესიული	ɑ ɡ r ɛ s i u l i
აგრესიულობა	ɑ ɡ r ɛ s i u l ɔ b ɑ
აგრესორი	ɑ ɡ r ɛ s ɔ r i
აგროვებს	ɑ ɡ r ɔ v ɛ b s
აგრძელებ	ɑ ɡ r d͡z ɛ l ɛ b
აგრძელებს	ɑ ɡ r d͡z ɛ l ɛ b s
აგულაშვილი	ɑ ɡ u l ɑ ʃ v i l i
