abdest	ǎ b d e s t
abdikacija	a b d i k ǎː t͡s i j a
abdomen	a b d ǒː m e n
abeceda	a b e t͡s ěː d a
abnormalnost	a b n o r m ǎː l n oː s t
adaptirati	a d a p t ǐː r a t i
adekvatan	â d e k ʋ aː t a n
adekvatno	â d e k ʋ aː t n o
administracija	a d m i n i s t r ǎː t͡s i j a
administrator	a d m i n ǐ s t r aː t o r
admiral	a d m ǐ r aː l
adrenalin	a d r e n ǎ l iː n
adrenalinski	a d r e n ǎ l iː n s k iː
adresa	a d r ě s a
adresirati	a d r e s ǐː r a t i
adut	ǎ d uː t
advokat	a d ʋ ǒ k aː t
aerobik	a e r ǒ b i k
aerobika	a e r ǒ b i k a
aerodinamičan	a e r o d i n ǎ m i t͡ʃ a n
aerodromski	a e r ǒ d r o m s k iː
afera	a f ěː r a
afganistanski	a f ɡ a n ǐ s t aː n s k iː
afirmiran	a f ǐ r m iː r aː n
afrički	ǎ f r i t͡ʃ k iː
agencija	a ɡ ě n t͡s i j a
agent	ǎ ɡ e n t
agnostik	a ɡ n ǒ s t i k
agonija	a ɡ ǒ n i j a
agresivan	â ɡ r e s iː ʋ a n
agresivno	â ɡ r e s iː ʋ n o
agresor	ǎ ɡ r e s o r
ahiret	ǎː x i r e t
ajam	ǎː j a m
ajde	ǎ j d e
ajkula	â j k u l a
ajme	ǎ j m e
ajmo	ǎ j m o
akademija	a k a d ě m i j a
akademik	a k a d ě m i k
akcenat	ǎ k t͡s e n a t
akcent	ǎ k t͡s e n t
akcija	ǎ k t͡s i j a
akord	ǎ k o r d
akt	â k t
akter	ǎ k t eː r
aktiva	a k t ǐː ʋ a
aktivan	â k t iː ʋ a n
aktivirati	a k t i ʋ ǐː r a t i
aktivist	a k t ǐ ʋ i s t
aktivistkinja	a k t ǐ ʋ i s t k i ɲ a
aktivizam	a k t i ʋ ǐ z a m
aktivno	â k t iː ʋ n o
aktivnost	a k t ǐː ʋ n oː s t
aktualan	â k t u aː l a n
aktualizirati	a k t u a l i z ǐː r a t i
aktuelan	â k t u eː l a n
akumulacija	a k u m u l ǎː t͡s i j a
akumulator	a k u m ǔ l aː t o r
akupunktura	a k u p u n k t ǔː r a
akustički	a k ǔ s t i t͡ʃ k iː
akvizicija	a k ʋ i z ǐː t͡s i j a
alabama	a l a b ǎ m a
alarm	ǎ l a r m
alat	ǎ l aː t
albanac	a l b ǎː n a t͡s
albin	ǎ l b iː n
album	ǎ l b uː m
aleksandar	a l ě k s aː n d a r
alergičan	a l ě r ɡ i t͡ʃ a n
aleutski	a l ě u t s k iː
alfa	â l f a
alfabetizam	a l f a b e t ǐ z a m
algoritam	a l ɡ o r ǐ t a m
ali	â l i
alkohol	ǎ l k o x o l
alkoholiziran	a l k o x o l ǐ z iː r a n
alkoholičar	a l k o x ǒ l i t͡ʃ aː r
alkoholni	ǎ l k o x o l n iː
alpe	âː l p e
alpinist	a l p ǐ n i s t
alternativan	â l t e r n a t iː ʋ a n
aluzija	ǎ l uː z i j a
alžirski	ǎ l ʒ iː r s k iː
amajlija	a m ǎ j l i j a
aman	ǎ m aː n
amandman	a m ǎ n d m aː n
ambalaža	a m b a l ǎː ʒ a
ambasador	a m b ǎ s aː d o r
ambiciozno	â m b i t͡s i oː z n o
ambijent	a m b ǐ j e n t
ambis	ǎ m b i s
ambivalentnost	a m b i ʋ ǎ l e n t n oː s t
ambrozija	ǎ m b r oː z i j a
amer	â m e r
amerika	a m ě r i k a
amerikanac	a m e r i k ǎː n a t͡s
amerikanka	a m e r ǐ k aː n k a
ametist	a m ě t i s t
amfiteatralan	a m f i t ě a t r aː l a n
amfora	ǎ m f o r a
aminokiselina	a m i n o k i s e l ǐ n a
amplituda	a m p l i t ǔː d a
amputacija	a m p u t ǎː t͡s i j a
amputirati	a m p u t ǐː r a t i
anadolija	a n a d ǒː l i j a
analfabet	a n a l f ǎ b eː t
analitičar	a n a l ǐ t i t͡ʃ aː r
analiza	a n a l ǐː z a
analizator	a n a l ǐ z aː t o r
analni	ǎ n aː l n iː
analogno	â n a l o ɡ n o
anarhija	a n ǎ r x i j a
anason	a n ǎ s oː n
anastrofa	a n a s t r ǒː f a
anatom	a n ǎ t oː m
anatomija	a n a t ǒ m i j a
anda	a n d aː
andaluski	a n d ǎ l u s k iː
andaluzijski	a n d ǎ l u z i j s k iː
andora	a n d ôː r a
andrija	ǎ n d r i j a
anegdota	a n e ɡ d ǒ t a
angažiran	a n ɡ ǎ ʒ iː r a n
angažirati	a n ɡ a ʒ ǐː r a t i
anglosaski	a n ɡ l ǒ s a s k iː
animacija	a n i m ǎː t͡s i j a
animator	a n ǐ m aː t o r
animirati	a n i m ǐː r a t i
animizam	a n i m ǐ z a m
anka	âː n k a
anketa	a n k ě t a
anoda	a n ǒː d a
anodni	ǎ n oː d n iː
anomalija	a n o m ǎ l i j a
anoniman	â n o n iː m a n
anonimno	â n o n iː m n o
anorganski	â n o r ɡ aː n s k iː
antarktik	a n t ǎ r k t i k
antarktika	a n t ǎ r k t i k a
ante	ǎː n t e
antifašizam	a n t i f a ʃ ǐ z a m
antisemitizam	a n t i s e m i t ǐ z a m
antički	ǎ n t i t͡ʃ k iː
antologija	a n t o l ǒ ɡ i j a
antropologija	a n t r o p o l ǒ ɡ i j a
