abba	ɒ bː ɒ
abban	ɒ bː ɒ n
abból	ɒ bː oː l
ablak	ɒ b l ɒ k
ablakai	ɒ b l ɒ k ɒ j i
ablakból	ɒ b l ɒ ɡ b oː l
ablakok	ɒ b l ɒ k o k
ablakon	ɒ b l ɒ k o n
ablakot	ɒ b l ɒ k o t
absztrakt	ɒ p s t r ɒ k t
acéllemez	ɒ t͡s eː lː ɛ m ɛ z
ad	ɒ d
adat	ɒ d ɒ t
adatai	ɒ d ɒ t ɒ j i
adatainak	ɒ d ɒ t ɒ j i n ɒ k
adatait	ɒ d ɒ t ɒ j i t
adathoz	ɒ d ɒ t h o z
adatok	ɒ d ɒ t o k
adatokat	ɒ d ɒ t o k ɒ t
adatokból	ɒ d ɒ t o ɡ b oː l
adatokkal	ɒ d ɒ t o kː ɒ l
adatokra	ɒ d ɒ t o k r ɒ
adatokról	ɒ d ɒ t o k r oː l
adatot	ɒ d ɒ t o t
adattal	ɒ d ɒ tː ɒ l
addig	ɒ dː i ɡ
adhat	ɒ t h ɒ t
adjanak	ɒ ɟː ɒ n ɒ k
adják	ɒ ɟː aː k
adminisztratív	ɒ d m i n i s t r ɒ t iː v
adnak	ɒ d n ɒ k
adni	ɒ d n i
adományokat	ɒ d o m aː ɲ o k ɒ t
adott	ɒ d o tː
adottak	ɒ d o tː ɒ k
adta	ɒ tː ɒ
adtak	ɒ tː ɒ k
adtunk	ɒ tː u ŋ k
adtál	ɒ tː aː l
adunk	ɒ d u ŋ k
adva	ɒ d v ɒ
adás	ɒ d aː ʃ
adások	ɒ d aː ʃ o k
adóhatóság	ɒ d oː ɦ ɒ t oː ʃ aː ɡ
adósok	ɒ d oː ʃ o k
adósság	ɒ d oː ʃː aː ɡ
adózik	ɒ d oː z i k
adózás	ɒ d oː z aː ʃ
aeroszol	ɒ ɛ r o s o l
afféle	ɒ fː eː l ɛ
agancsokban	ɒ ɡ ɒ n t͡ʃ o ɡ b ɒ n
aggódó	ɒ ɡː oː d oː
agresszív	ɒ ɡ r ɛ sː iː v
agyag	ɒ ɟ ɒ ɡ
ahelyett	ɒ ɦ ɛ j ɛ tː
ahhoz	ɒ ɦ o z
ahogy	ɒ ɦ o ɟ
ahogyan	ɒ ɦ o ɟ ɒ n
ajak	ɒ j ɒ k
ajka	ɒ j k ɒ
ajándék	ɒ j aː n d eː k
ajándéka	ɒ j aː n d eː k ɒ
ajándékba	ɒ j aː n d eː ɡ b ɒ
ajándékkal	ɒ j aː n d eː kː ɒ l
ajándékokat	ɒ j aː n d eː k o k ɒ t
ajándékot	ɒ j aː n d eː k o t
ajánlani	ɒ j aː n l ɒ n i
ajánlati	ɒ j aː n l ɒ t i
ajánlatkérő	ɒ j aː n l ɒ t k eː r øː
ajánlattevő	ɒ j aː n l ɒ tː ɛ v øː
ajánlható	ɒ j aː n l ɦ ɒ t oː
ajánlom	ɒ j aː n l o m
akad	ɒ k ɒ d
akadály	ɒ k ɒ d aː j
akadálya	ɒ k ɒ d aː j ɒ
akadályokat	ɒ k ɒ d aː j o k ɒ t
