あいかわらず	a̠ i k a̠ ɰᵝ a̠ ɾ a̠ z ɨᵝ
あいがん	a̠ i ɡ ã̠ ɴ
あいくち	a̠ i k ɯ̟ᵝ t͡ɕ i
あいけん	a̠ i k ẽ̞ ɴ
あいこくしゅぎ	a̠ i k o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
あいご	a̠ i ɡ o̞
あいさつ	a̠ i s a̠ t͡s ɨᵝ
あいしゅう	a̠ i ɕ ɨᵝː
あいしょうか	a̠ i ɕ o̞ː k a̠
あいしんかくら	a̠ i ɕ ĩ ŋ k a̠ k ɯ̟ᵝ ɾ a̠
あいじょう	a̠ i ʑ o̞ː
あいぞう	a̠ i z o̞ː
あいぞうばん	a̠ i z o̞ː b ã̠ ɴ
あいだがら	a̠ i d a̠ ɡ a̠ ɾ a̠
あいつぐ	a̠ i t͡s ɨᵝ ɡ ɯ̟ᵝ
あいつら	a̠ i t͡s ɨᵝ ɾ a̠
あいな	a̠ i n a̠
あいにく	a̠ i ɲ̟ i k ɯ̟ᵝ
あいふく	a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
あいぶ	a̠ i b ɯ̟ᵝ
あいぼ	a̠ i b o̞
あいまい	a̠ i m a̠ i
あいよ	a̠ i j o̞
あう	a̠ ɯ̟ᵝ
あえぐ	a̠ e̞ ɡ ɯ̟ᵝ
あえる	a̠ e̞ ɾ ɯ̟ᵝ
あえん	a̠ ẽ̞ ɴ
あお	a̠ o̞
あおい	a̠ o̞ i
あおうなばら	a̠ o̞ ɯ̟ᵝ n a̠ b a̠ ɾ a̠
あおき	a̠ o̞ kʲ i
あおぎり	a̠ o̞ ɡʲ i ɾʲ i
あおぐ	a̠ o̞ ɡ ɯ̟ᵝ
あおげいとう	a̠ o̞ ɡ e̞ː t o̞ː
あおさ	a̠ o̞ s a̠
あおば	a̠ o̞ b a̠
あおもの	a̠ o̞ m o̞ n o̞
あおもり	a̠ o̞ m o̞ ɾʲ i
あおもりけん	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
あおる	a̠ o̞ ɾ ɯ̟ᵝ
あか	a̠ k a̠
あかい	a̠ k a̠ i
あかがみ	a̠ k a̠ ɡ a̠ mʲ i
あかぐろい	a̠ k a̠ ɡ ɯ̟ᵝ ɾ o̞ i
あかげざる	a̠ k a̠ ɡ e̞ z a̠ ɾ ɯ̟ᵝ
あかし	a̠ k a̠ ɕ i
あかじ	a̠ k a̠ ʑ i
あかちょうちん	a̠ k a̠ t͡ɕ o̞ː t͡ɕ ĩ ɴ
あかつき	a̠ k a̠ t͡s ɨ̥ᵝ kʲ i
あかつめくさ	a̠ k a̠ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
あかてん	a̠ k a̠ t ẽ̞ ɴ
あかなす	a̠ k a̠ n a̠ s ɨᵝ
あかね	a̠ k a̠ n e̞
あかはた	a̠ k a̠ h a̠ t a̠
あかはな	a̠ k a̠ h a̠ n a̠
あかべこ	a̠ k a̠ b e̞ k o̞
あかむつ	a̠ k a̠ m ɯ̟ᵝ t͡s ɨᵝ
あかり	a̠ k a̠ ɾʲ i
あかるむ	a̠ k a̠ ɾ ɯ̟ᵝ m ɯ̟ᵝ
あかんべえ	a̠ k ã̠ m b e̞ː
あがき	a̠ ɡ a̠ kʲ i
あがく	a̠ ɡ a̠ k ɯ̟ᵝ
あがめる	a̠ ɡ a̠ m e̞ ɾ ɯ̟ᵝ
あがる	a̠ ɡ a̠ ɾ ɯ̟ᵝ
あき	a̠ kʲ i
あきかぜ	a̠ kʲ i k a̠ z e̞
あきぞら	a̠ kʲ i z o̞ ɾ a̠
あきびん	a̠ kʲ i bʲ ĩ ɴ
あきや	a̠ kʲ i j a̠
あく	a̠ k ɯ̟ᵝ
あくいあくしょく	a̠ k ɯ̟ᵝ i a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
あくいんあっか	a̠ k ɯ̟ᵝ ĩ ɰ̃ a̠ k̚ k a̠
あくぎゃくひどう	a̠ k ɯ̟ᵝ ɡʲ a̠ k ɯ̟ᵝ ç i d o̞ː
あくしゅかい	a̠ k ɯ̟ᵝ ɕ ɨᵝ k a̠ i
あくしゅけん	a̠ k ɯ̟ᵝ ɕ ɨᵝ k ẽ̞ ɴ
あくしゅみ	a̠ k ɯ̟ᵝ ɕ ɨᵝ mʲ i
あくせく	a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ
あくとう	a̠ k ɯ̟ᵝ t o̞ː
あくとく	a̠ k ɯ̟̊ᵝ t o̞ k ɯ̟ᵝ
あくにち	a̠ k ɯ̟ᵝ ɲ̟ i t͡ɕ i
あくば	a̠ k ɯ̟ᵝ b a̠
あくび	a̠ k ɯ̟ᵝ bʲ i
あくむ	a̠ k ɯ̟ᵝ m ɯ̟ᵝ
あぐり	a̠ ɡ ɯ̟ᵝ ɾʲ i
あけ	a̠ k e̞
あけがた	a̠ k e̞ ɡ a̠ t a̠
あけくれる	a̠ k e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あけち	m e̞ː t͡ɕ i
あけっぱなし	a̠ k e̞ p̚ p a̠ n a̠ ɕ i
あけはなす	a̠ k e̞ h a̠ n a̠ s ɨᵝ
あけび	a̠ k e̞ bʲ i
あけぼの	a̠ k e̞ b o̞ n o̞
あける	a̠ k e̞ ɾ ɯ̟ᵝ
あげあげ	a̠ ɡ e̞ a̠ ɡ e̞
あげは	a̠ ɡ e̞ h a̠
あげはちょう	a̠ ɡ e̞ h a̠ t͡ɕ o̞ː
あこがれ	a̠ k o̞ ɡ a̠ ɾ e̞
あこがれる	a̠ k o̞ ɡ a̠ ɾ e̞ ɾ ɯ̟ᵝ
あご	a̠ ɡ o̞
あごひげ	a̠ ɡ o̞ ç i ɡ e̞
あさ	a̠ s a̠
あさいろ	a̠ s a̠ i ɾ o̞
あさおき	a̠ s a̠ o̞ kʲ i
あさくら	a̠ s a̠ k ɯ̟ᵝ ɾ a̠
あさって	a̠ s a̠ t̚ t e̞
あさね	a̠ s a̠ n e̞
あさのかい	a̠ s a̠ n o̞ k a̠ i
あさひ	a̠ s a̠ ç i̥
あさひる	a̠ s a̠ ç i ɾ ɯ̟ᵝ
あざ	a̠ z a̠
あざとい	a̠ z a̠ t o̞ i
あざみ	a̠ z a̠ mʲ i
あざむく	a̠ z a̠ m ɯ̟ᵝ k ɯ̟ᵝ
あざやか	a̠ z a̠ j a̠ k a̠
あざらし	a̠ z a̠ ɾ a̠ ɕ i
あざわらう	a̠ z a̠ ɰᵝ a̠ ɾ a̠ ɯ̟ᵝ
あしたれぼし	a̠ ɕ i t a̠ ɾ e̞ b o̞ ɕ i
あしばや	a̠ ɕ i b a̠ j a̠
あしもと	a̠ ɕ i m o̞ t o̞
あしゅら	a̠ ɕ ɨᵝ ɾ a̠
あしゆ	a̠ ɕ i j ɯ̟ᵝ
あじ	a̠ ʑ i
あじさい	a̠ ʑ i s a̠ i
あじむ	a̠ ʑ i m ɯ̟ᵝ
あじわい	a̠ ʑ i ɰᵝ a̠ i
あすなろ	a̠ s ɨᵝ n a̠ ɾ o̞
あずき	a̠ z ɨᵝ kʲ i
あずさ	a̠ z ɨᵝ s a̠
あずまくだり	a̠ z ɨᵝ m a̠ k ɯ̟ᵝ d a̠ ɾʲ i
あずまごと	a̠ z ɨᵝ m a̠ ɡ o̞ t o̞
あずまや	a̠ z ɨᵝ m a̠ j a̠
あせ	a̠ s e̞
あそびば	a̠ s o̞ bʲ i b a̠
あそん	a̠ s õ̞ ɴ
あたえる	a̠ t a̠ e̞ ɾ ɯ̟ᵝ
あたくし	a̠ t a̠ k ɯ̟̊ᵝ ɕ i
あたご	a̠ t a̠ ɡ o̞
あたし	a̠ t a̠ ɕ i
あたたかい	a̠ t a̠ t a̠ k a̠ i
あたためる	a̠ t a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あたまじらみ	a̠ t a̠ m a̠ ʑ i ɾ a̠ mʲ i
あだ	a̠ d a̠
あだな	a̠ d a̠ n a̠
あだばな	a̠ d a̠ b a̠ n a̠
あちら	a̠ t͡ɕ i ɾ a̠
あっけない	a̠ k̚ k e̞ n a̠ i
あっさく	a̠ sː a̠ k ɯ̟ᵝ
あっさり	a̠ sː a̠ ɾʲ i
あったかい	a̠ t̚ t a̠ k a̠ i
あっというま	a̠ t̚ t o̞ i ɯ̟ᵝ m a̠
あっといわせる	a̠ t̚ t o̞ i ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
あっとうてき	a̠ t̚ t o̞ː t e̞ kʲ i
あっとおどろく	a̠ t̚ t o̞ o̞ d o̞ ɾ o̞ k ɯ̟ᵝ
あつ	a̠ t͡s ɨᵝ
あつあつ	a̠ t͡s ɨᵝ a̠ t͡s ɨᵝ
あつい	a̠ t͡s ɨᵝ i
あつくるしい	a̠ t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あつし	a̠ t͡s ɨᵝ ɕ i
あつひろ	a̠ t͡s ɨᵝ ç i ɾ o̞
あつまる	a̠ t͡s ɨᵝ m a̠ ɾ ɯ̟ᵝ
あつめる	a̠ t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
あつらえる	a̠ t͡s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
あつりょくなべ	a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ n a̠ b e̞
あて	a̠ t e̞
あてこむ	a̠ t e̞ k o̞ m ɯ̟ᵝ
あてじ	a̠ t e̞ ʑ i
