ᆯ지	ʎ t͡ɕ͈ i
ㄱㄴㄷ순	k a̠ n a̠ d a̠ sʰ u n
ㄴㄴ	n o̞ n o̞
ㅋㅋㅋ	k x ɯ k x ɯ k x ɯ
가가린	k a̠ ɡ a̠ ɾ i n
가감	k a̠ ɡ a̠ m
가게	k a̠ː ɡ e̞
가격	k a̠ ɡ j ʌ̹ k̚
가계	k a̠ ɡ j e̞
가공품	k a̠ ɡ o̞ ŋ pʰ u m
가구	k a̠ ɡ u
가깝다	k a̠ k͈ a̠ p̚ t͈ a̠
가끔	k a̠ k͈ ɯ m
가끔씩	k a̠ k͈ ɯ m ɕ͈ i k̚
가나	k a̠ n a̠
가난하다	k a̠ n a̠ n ɦ a̠ d a̠
가는쥐	k a̠ n ɯ ɲ d͡ʑ ɥ i
가늘다	k a̠ n ɯ ɭ d a̠
가늠	k a̠ n ɯ m
가늠하다	k a̠ n ɯ m ɦ a̠ d a̠
가능성	k a̠ː n ɯ ŋ s͈ ʌ̹ ŋ
가능하다	k a̠ː n ɯ ŋ ɦ a̠ d a̠
가독성	k a̠ d o̞ k s͈ ʌ̹ ŋ
가동	k a̠ d o̞ ŋ
가두리	k a̠ː d u ɾ i
가드	k a̠ d ɯ
가득	k a̠ d ɯ k̚
가득가득	k a̠ d ɯ k̚ k͈ a̠ d ɯ k̚
가득하다	k a̠ d ɯ kʰ a̠ d a̠
가따까나	k a̠ t͈ a̠ k͈ a̠ n a̠
가라데	k a̠ ɾ a̠ d e̞
가라오케	k a̠ ɾ a̠ o̞ kʰ e̞
가랑비	k a̠ ɾ a̠ ŋ b i
가령	k a̠ː ɾ j ʌ̹ ŋ
가로	k a̠ ɾ o̞
가로다	k a̠ ɾ o̞ d a̠
가로등	k a̠ ɾ o̞ d ɯ ŋ
가루	k a̠ ɾ u
가르치다	k a̠ ɾ ɯ t͡ɕʰ i d a̠
가르침	k a̠ ɾ ɯ t͡ɕʰ i m
가리다	k a̠ ɾ i d a̠
가리비	k a̠ ɾ i b i
가마솥	k a̠ m a̠ sʰ o̞ t̚
가마우지	k a̠ m a̠ u d͡ʑ i
가만	k a̠ m a̠ n
가만가만	k a̠ m a̠ n ɡ a̠ m a̠ n
가만두다	k a̠ m a̠ n d u d a̠
가만히	k a̠ m a̠ n ʝ i
가맣다	k a̠ː m a̠ tʰ a̠
가면	k a̠ː m j ʌ̹ n
가면극	k a̠ː m j ʌ̹ n ɡ ɯ k̚
가명	k a̠ː m j ʌ̹ ŋ
가무	k a̠ m u
가무이야기	k a̠ m u i j a̠ ɡ i
가문	k a̠ m u n
가물가물	k a̠ m u ɭ ɡ a̠ m u ɭ
가물치	k a̠ m u ʎ t͡ɕʰ i
가뭄	k a̠ m u m
가방	k a̠ b a̠ ŋ
가보	k a̠ b o̞
가봉	k a̠ b o̞ ŋ
가부좌	k a̠ b u d͡ʑ w a̠
가브리엘	k a̠ b ɯ ɾ i e̞ ɭ
가사	k a̠ sʰ a̠
가산	k a̠ sʰ a̠ n
가세	k a̠ sʰ e̞
가숭어	k a̠ː sʰ u ŋ ʌ̹
가스	k͈ a̠ sʰ ɯ
