a hoàn	ʔ aː ˧˧ h w aː n ˨˩
a lịch sơn	ʔ aː ˧˧ l ï k̟̚ ˧˨ ʔ s əː n ˧˧
a tu la	ʔ aː ˧˧ t u ˧˧ l aː ˧˧
ace	ʔ a j ŋ̟ ˧˧ t͡ɕ i ˧˨ ʔ ʔ ɛ m ˧˧
actini	ʔ aː k̚ ˧˦ t i ˧˧ n i ˧˧
agon	ʔ aː ˧˧ ɣ ə w ŋ͡m ˧˧
ai	ʔ aː j ˧˧
ai dè	ʔ aː j ˧˧ z ɛ ˨˩
ai lao	ʔ aː j ˧˧ l aː w ˧˧
ai nấy	ʔ aː j ˧˧ n ə j ˧˦
alexanđê	ʔ aː ˧˧ l ɛ k̚ ˧˦ s aː n ˧˧ ʔ ɗ e ˧˧
am	ʔ aː m ˧˧
am tường	ʔ aː m ˧˧ t ɨ ə ŋ ˨˩
amoni	ʔ aː ˧˧ m o ˧˧ n i ˧˧
an	ʔ aː n ˧˧
an bài	ʔ aː n ˧˧ ʔ ɓ aː j ˨˩
an khang thịnh vượng	ʔ aː n ˧˧ x aː ŋ ˧˧ tʰ ï ŋ ˧˨ ʔ v ɨ ə ŋ ˧˨ ʔ
an lành	ʔ aː n ˧˧ l a j ŋ̟ ˨˩
an lê mân	ʔ aː n ˧˧ l e ˧˧ m ə n ˧˧
an lạc	ʔ aː n ˧˧ l aː k̚ ˧˨ ʔ
an nam	ʔ aː n ˧˧ n aː m ˧˧
an toàn là trên hết	ʔ aː n ˧˧ t w aː n ˨˩ l aː ˨˩ t͡ɕ e n ˧˧ h e t̚ ˧˦
an tâm	ʔ aː n ˧˧ t ə m ˧˧
an tôn	ʔ aː n ˧˧ t o n ˧˧
ancol	ʔ aː n ˧˧ k o n ˧˧
ang	ʔ aː ŋ ˧˧
anh chị em	ʔ a j ŋ̟ ˧˧ t͡ɕ i ˧˨ ʔ ʔ ɛ m ˧˧
anh cát lợi	ʔ a j ŋ̟ ˧˧ k aː t̚ ˧˦ l əː j ˧˨ ʔ
anh hùng	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩
anh ngữ	ʔ a j ŋ̟ ˧˧ ŋ ɨ ˦ˀ˥
anh quốc	ʔ a j ŋ̟ ˧˧ k u ə k̚ ˧˦
anh trai	ʔ a j ŋ̟ ˧˧ t͡ɕ aː j ˧˧
anh vợ	ʔ a j ŋ̟ ˧˧ v əː ˧˨ ʔ
anh yêu em	ʔ a j ŋ̟ ˧˧ ʔ i ə w ˧˧ ʔ ɛ m ˧˧
anh ấy	ʔ a j ŋ̟ ˧˧ ʔ ə j ˧˦
anphongsô	ʔ aː n ˧˧ f a w ŋ͡m ˧˧ s o ˧˧
antimon	ʔ aː n ˧˧ t i ˧˧ m ɔ n ˧˧
antôn	ʔ aː n ˧˧ t o n ˧˧
anê	ʔ aː n ˧˧ n e ˧˧
ao	ʔ aː w ˧˧
ao ước	ʔ aː w ˧˧ ʔ ɨ ə k̚ ˧˦
asen	ʔ aː ˧˧ s ɛ n ˧˧
atatin	ʔ aː ˧˧ t aː ˧˧ t i n ˧˧
